Week Ending,Tests,Positive Cases,Positivity rate,Change in Positivity Rate
"Dec 11, 2020",14,8,0.5714285714285714,-0.1785714285714286
"Dec 4, 2020",16,12,0.75,0.35
"Nov 27, 2020",5,2,0.4,0.15000000000000002
"Nov 20, 2020",8,2,0.25,0
"Nov 13, 2020",12,3,0.25,0.25
"Nov 6, 2020",3,0,0,-0.2
"Oct 30, 2020",5,1,0.2,-0.1333333333333333
"Oct 23, 2020",3,1,0.3333333333333333,0.3333333333333333
"Oct 16, 2020",4,0,0,-0.16666666666666666
"Oct 9, 2020",6,1,0.16666666666666666,0.16666666666666666
"Oct 2, 2020",5,0,0,0
"Sep 25, 2020",2,0,0,-0.2
"Sep 18, 2020",5,1,0.2,0.2
"Sep 11, 2020",3,0,0,0
"Sep 6, 2020",9,0,0,0
"Aug 30, 2020",4,0,0,0