Week Ending,Tests,Positive Cases,Positivity Rate,Change in Positivity Rate
"Jan 22, 2021",2156,8,0.0037105751391465678,-0.000188060338436278
"Jan 15, 2021",2052,8,0.003898635477582846,-0.0018454898487879111
"Jan 8, 2021",1915,11,0.005744125326370757,0.0016708055707699426
"Jan 1, 2021",491,2,0.004073319755600814,0.0009087627935754979
"Dec 25, 2020",1264,4,0.0031645569620253164,-0.006701954935827266
"Dec 18, 2020",1723,17,0.009866511897852582,0.004442448781481773
"Dec 11, 2020",2028,11,0.005424063116370809,-0.0021136253258402463
"Dec 4, 2020",1990,15,0.007537688442211055,0.004468320731959367
"Nov 27, 2020",1629,5,0.003069367710251688,-0.003779947358241462
"Nov 20, 2020",2044,14,0.00684931506849315,0.002182959492198237
"Nov 13, 2020",2143,10,0.004666355576294913,-0.0013970772595259823
"Nov 6, 2020",2144,13,0.006063432835820896,0.002855366841320437
"Oct 30, 2020",2182,7,0.0032080659945004585,0.0018211034424893628
"Oct 23, 2020",2163,3,0.0013869625520110957,-0.0013933896259314437
"Oct 16, 2020",2158,6,0.0027803521779425394,0.0013869476261543368
"Oct 9, 2020",2153,3,0.0013934045517882026,0.0013934045517882026
"Oct 2, 2020",2085,0,0,0
"Sep 25, 2020",1997,0,0,-0.0014947683109118087
"Sep 18, 2020",2007,3,0.0014947683109118087,-0.00022541517532672349
"Sep 11, 2020",1744,3,0.0017201834862385322,0.0017201834862385322
"Sep 6, 2020",1918,0,0,-0.0017793594306049821
"Aug 30, 2020",2248,4,0.0017793594306049821,0